"","AJwcM2MAIPOOA100700.extra.kraken2.report","Ia7iM2MAIPOOB100245.extra.kraken2.report","P0ZQM2MAIPOOA100240.extra.kraken2.report","qU3SM2MAIPOOM070605.extra.kraken2.report","c5isM2MAIPOOA070615.extra.kraken2.report","TgLUM2MAIPOOM070620.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"104623",45,27,23,23,36,41,"v_3262",167,3.36473755047106e-05,26329.4604641031
"833",80,42,47,49,74,74,"v_4286",127,3.36462433969247e-05,16767.1682828545
"1612552",50,24,16,42,27,37,"v_662",82,3.36451113653186e-05,17215.8006227094
"1683",136,47,62,44,59,62,"v_748",134,3.36439794098846e-05,18075.1626952386
"1852377",81,28,41,28,38,30,"v_708",76,3.36349265076856e-05,13593.1996819904
"1604004",113,53,42,61,110,82,"v_4531",200,3.36304018833025e-05,40731.9502696069
"95641",65,53,56,33,54,48,"v_3704",115,3.36292709174065e-05,20164.1485771574
"160386",61,33,33,31,34,36,"v_549",67,3.36258784760752e-05,53370.7686471411
"1725232",53,36,44,37,57,61,"v_3931",106,3.36247478143914e-05,11601.7593402961
"1705",106,35,59,34,50,38,"v_564",63,3.36236172287415e-05,24184.563205857
"161895",91,48,33,32,52,45,"v_570",89,3.36224867191177e-05,29819.0112885001
"580340",26,13,20,23,21,41,"v_4358",116,3.36224867191177e-05,66917.0558176176
"1973486",56,15,34,71,53,39,"v_1432",88,3.36179654407315e-05,9485.25230550469
"2488819",125,64,61,70,93,84,"v_558",237,3.36168353111238e-05,67204.821891284
"1932004",151,59,52,70,83,72,"v_4514",171,3.36145752798413e-05,67400.9201223043
"111769",50,28,34,34,52,33,"v_3841",104,3.36123155524184e-05,12930.8936464096
"225937",56,14,41,30,54,37,"v_3549",74,3.36055381926942e-05,28536.1252491351
"632773",56,13,19,43,34,38,"v_835",49,3.36044088984475e-05,21678.277011406
"2661553",88,55,59,39,48,58,"v_3489",125,3.36032796800968e-05,28851.4991817781
"54304",35,12,18,51,35,19,"v_1451",89,3.36021505376344e-05,13710.2601047483
"1619313",135,58,78,67,87,101,"v_3325",161,3.35987635655008e-05,125021.1083469
"377629",113,49,61,54,77,80,"v_3711",132,3.35987635655008e-05,71495.9759412881
"716816",37,32,23,12,32,39,"v_3735",77,3.35976347265153e-05,28855.8683342461
"664683",80,44,42,33,42,59,"v_3485",88,3.35965059633798e-05,22889.4965807051
"53407",61,44,59,31,49,49,"v_3070",102,3.35931201289976e-05,32931.2415164121
"180",64,33,29,46,47,48,"v_4310",106,3.35931201289976e-05,23782.2025401824
"252966",56,16,31,48,54,45,"v_1315",147,3.35919916691861e-05,21341.595706327
"2033033",55,33,34,39,41,53,"v_3668",154,3.35919916691861e-05,21692.5212023439
"1891675",71,42,40,29,48,48,"v_3317",132,3.3589734976991e-05,19818.6840993217
"203",35,18,18,17,23,24,"v_3979",149,3.35886067445922e-05,22685.1529651806
"869806",31,25,42,15,23,41,"v_4160",73,3.35886067445922e-05,30956.5150388636
"2622240",100,47,65,60,78,80,"v_3963",109,3.35874785879824e-05,28725.4562695939
"1073999",83,37,48,54,69,45,"v_3191",153,3.358296671928e-05,20508.3906927144
"1283313",23,17,14,17,20,21,"v_4244",102,3.35807112394641e-05,152658.317576585
"1505648",60,23,39,39,62,41,"v_863",87,3.35784560625902e-05,19570.1220340561
"1671721",48,31,34,32,59,47,"v_3542",180,3.35784560625902e-05,27771.1076809417
"158627",116,62,73,68,92,77,"v_3067",138,3.35773285877376e-05,71739.422418835
"555",54,43,38,38,60,45,"v_3359",151,3.35773285877376e-05,21310.2752410091
"10319",36,11,3,15,35,36,"v_4721",110,3.35762011885975e-05,10051.6327175108
"583345",38,24,22,14,24,25,"v_2647",40,3.35694383832958e-05,16154.3904321588
"158877",83,56,74,32,68,54,"v_3237",52,3.35683115139308e-05,17894.5636376188
"379070",24,17,14,14,18,22,"v_4205",118,3.35671847202175e-05,68927.0420283644
"430914",144,73,74,68,110,95,"v_4519",201,3.35671847202175e-05,166901.407384581
"184117",79,20,20,33,48,37,"v_4460",73,3.35649313597154e-05,50756.7053699666
"33934",31,12,12,28,18,21,"v_885",89,3.35626783017285e-05,94632.0425848963
"2681984",67,33,35,31,47,31,"v_3321",177,3.35626783017285e-05,41804.143691179
"204040",30,33,25,22,37,39,"v_3346",47,3.35615518861592e-05,15677.1241252981
"204",58,38,27,49,50,50,"v_3978",109,3.35604255461959e-05,14197.3717140036
"2733484",54,36,41,21,46,58,"v_3467",133,3.3559299281831e-05,22398.0118480454
"2508306",113,46,42,63,74,70,"v_2124",224,3.35559209422503e-05,31743.5223220977
"349967",24,20,13,17,23,21,"v_3294",103,3.35559209422503e-05,105398.846035741
"51197",28,19,16,26,30,23,"v_1277",54,3.35547949802027e-05,15115.8617404952
"2579935",108,75,59,71,77,84,"v_3250",114,3.35491663032174e-05,21822.7541007421
"408139",34,29,19,27,45,34,"v_4342",60,3.35491663032174e-05,14907.4647057159
"290633",90,45,60,64,62,71,"v_2048",205,3.35480407944176e-05,49101.8828144062
"1851148",100,42,58,58,54,63,"v_4106",195,3.35480407944176e-05,36117.0368011229
"2651972",39,21,37,17,28,33,"v_2494",90,3.35469153611325e-05,64127.1128245851
"520",76,45,63,45,52,54,"v_2568",117,3.35412893271617e-05,23156.0605130698
"2722756",116,64,75,59,76,77,"v_3369",207,3.35401643468053e-05,38670.0416113035
"2731756",46,27,28,13,27,22,"v_3713",54,3.35401643468053e-05,13549.9914320615
"2562717",89,44,41,49,72,45,"v_4643",106,3.35401643468053e-05,25008.5127459987
