"","pse1M2MAIPOOA100685.extra.kraken2.report","AJwcM2MAIPOOA100700.extra.kraken2.report","qU3SM2MAIPOOM070605.extra.kraken2.report","B7zTM2MAIPOOA070610.extra.kraken2.report","c5isM2MAIPOOA070615.extra.kraken2.report","TgLUM2MAIPOOM070620.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"2054227",0.000275798575768218,0.000268393608911775,0.000304208396484666,0.000313555391519633,0.00028098219480263,0.000312959111657236,"v_1911",51,2.40801387015989e-05,5506.49551461605
"714995",5.95248724679607e-06,5.53388884354174e-06,8.73922890038028e-06,6.53240398999236e-06,9.53128204893589e-06,6.40434744182611e-06,"v_2025",51,3.27300101463031e-05,1425.01896444677
"2716225",0.000450404868340903,0.000464569968415329,0.000471502206863374,0.000868809730668983,0.000931778133103973,0.000878676469018542,"v_2285",51,2.22504060699108e-05,8611.50719229605
"225992",5.55565476367634e-05,7.11104716395114e-05,6.36715248456278e-05,9.79860598498854e-05,0.000105987856384167,0.000105885211038192,"v_2331",51,3.07125307125307e-05,7719.67390120159
"2763498",0.000117065582520323,0.000189812387333482,0.000215151492452219,0.000254763755609702,0.000241332061479057,0.000302712155750314,"v_2845",51,2.52857287347021e-05,16716.3779307375
"47883",6.15090348835594e-05,7.66443604830532e-05,6.53361398742716e-05,7.18564438899159e-05,7.05314871621256e-05,7.34365173329394e-05,"v_2978",51,3.16195535319041e-05,2148.40282035471
"2004650",1.98416241559869e-06,1.93686109523961e-06,3.32923005728773e-06,0,1.14375384587231e-06,4.26956496121741e-07,"v_3113",51,2.6281208935611e-05,2215.77859708275
"1315306",3.96832483119738e-06,4.4271110748334e-06,2.49692254296579e-06,6.53240398999236e-06,3.43126153761692e-06,3.41565196897393e-06,"v_3630",51,2.89268151576511e-05,8121.51583766191
"666",1.78574617403882e-05,2.26889442585211e-05,1.45653815006338e-05,1.30648079799847e-05,2.13500717896164e-05,1.49434773642609e-05,"v_3751",51,3.44970332551401e-05,939.68902343376
"2627627",0.000738108418602713,0.000878228159470075,0.00101291824492979,0.00157430936158816,0.0018585999995425,0.00193496684042373,"v_3902",51,2.0256036298817e-05,6379.43793681065
"2661612",4.56357355587699e-05,3.54168885986672e-05,3.32923005728773e-05,3.91944239399541e-05,4.27001435792328e-05,4.09878236276871e-05,"v_3936",51,3.4272397011447e-05,7933.14095428616
"497724",1.98416241559869e-06,8.30083326531262e-07,0,0,7.62502563914871e-07,0,"v_3986",51,2.17400756554633e-05,6177.17266650348
"2045416",3.96832483119738e-06,6.91736105442718e-06,2.91307630012676e-06,0,4.95626666544666e-06,2.98869547285218e-06,"v_4196",51,3.18471337579618e-05,8927.50243523771
"59735",5.95248724679607e-06,4.15041663265631e-06,4.99384508593159e-06,6.53240398999236e-06,6.10002051131897e-06,5.55043444958263e-06,"v_4216",51,3.00670495204306e-05,7791.81959613702
"1550241",1.98416241559869e-06,2.76694442177087e-06,1.2484612714829e-06,0,1.14375384587231e-06,8.53912992243481e-07,"v_4469",51,2.72963013511669e-05,4604.39692593071
"442694",0,5.25719440136466e-06,1.66461502864386e-06,0,2.66875897370205e-06,5.97739094570437e-06,"v_4845",51,3.12480469970627e-05,2753.94512653993
"114186",0,5.53388884354174e-07,4.16153757160966e-07,0,2.28750769174461e-06,4.26956496121741e-07,"v_5060",51,2.47457375467076e-05,4914.41531664692
"283699",0,2.76694442177087e-07,8.32307514321932e-07,0,3.81251281957436e-07,4.26956496121741e-07,"v_5101",51,2.19024465032744e-05,34269.4408618868
"2360",0,3.59702774830213e-06,2.49692254296579e-06,0,1.90625640978718e-06,2.56173897673044e-06,"v_5186",51,2.93711633917819e-05,2456.28769559094
"730",0,1.10677776870835e-06,8.32307514321932e-07,0,1.14375384587231e-06,1.70782598448696e-06,"v_5197",51,2.71916467261257e-05,7116.86060734943
"54913",0,5.25719440136466e-06,1.33169202291509e-05,6.53240398999236e-06,9.91253333089332e-06,5.55043444958263e-06,"v_5285",51,3.25584424041154e-05,1549.08893908493
"29554",0,5.53388884354174e-07,8.32307514321932e-07,0,0,1.28086948836522e-06,"v_5480",51,2.243963737546e-05,13026.808310843
"158190",0,6.64066661225009e-06,5.40999884309256e-06,6.53240398999236e-06,4.19376410153179e-06,9.81999941080004e-06,"v_5555",51,3.21347086988656e-05,3521.24741218514
"590168",0,8.30083326531262e-07,8.32307514321932e-07,0,3.81251281957436e-07,0,"v_5584",51,2.15889464594128e-05,18648.3273827668
