"","X0n7bM2TOMPOOA100365.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"2571747",0.000307437158716549,0.000200436996704904,0.000275152059966059,0.000210968058295606,0.000237697870833965,0.000268836015345355,0.000249875258197906,0.000313154136083219,0.000254487007768551,0.000286154991396791,0.000248500781851264,0.000277141305202306,0.000438671602271081,0.000326574591861204,0.000204455127086315,0.000309750146817989,0.000271378451205852,0.000241803221239434,"v_972",106,5.74745675038795e-05,2546.77710070653
"75293",5.24617536892459e-05,6.38755264224419e-05,6.32337032220135e-05,6.61413371953792e-05,6.23746185876363e-05,7.39631211905671e-05,6.34479495737629e-05,5.79582260469659e-05,8.57219394588803e-05,4.85923570296437e-05,4.92807457679723e-05,5.86260453312571e-05,4.30328498724383e-05,0.000143243047028941,3.60577522441156e-05,4.2672708087642e-05,4.5734162780664e-05,3.9822664894505e-05,"v_3124",34,5.8844297987525e-05,2541.88454631467
"198620",7.61541585811634e-05,8.36989656569928e-05,7.64786005185164e-05,5.70183941339476e-05,5.26812656990172e-05,7.041997766048e-05,5.87481014571879e-05,7.50311918592505e-05,5.84873649432985e-05,0.000108995356392881,9.01732794903322e-05,7.28384199570165e-05,9.08959175877014e-05,6.15993990636403e-05,6.21420836547524e-05,6.41582674044967e-05,4.74155658240708e-05,6.18047759162717e-05,"v_1490",64,6.25312656328164e-05,2537.05097030166
"1150469",0.000239180468432691,0.00016960053567338,0.000226872273046549,0.000212336499754821,0.000225475817191794,0.000218789112982875,0.000241258869984185,0.000262384527220373,0.000258505223680686,0.000263546047501054,0.000224384672220129,0.000262484793869492,0.000228337570751714,0.000228553325890887,0.000200235602887535,0.00026558538600001,0.000208493977382439,0.000234475850898845,"v_513",155,6.0723828030119e-05,2536.63671952591
"2528026",0.000782413466311657,0.000499991189582562,0.000757949929161162,0.000569727794186404,0.000571064920177346,0.000617392760117668,0.000691269327146244,0.000688759383953479,0.000902759174926333,0.00114327017789189,0.000867830437885639,0.00091536575324031,0.000682378047977237,0.000585927617283911,0.000481409351769841,0.000584287849200021,0.000635234069799076,0.000741020148356949,"v_4859",36,4.89356496207487e-05,2534.15108555531
"2640012",1.60769890338012e-05,2.422864795334e-05,2.39262660840051e-05,2.12108426178285e-05,1.47507543957248e-05,1.50583600028699e-05,1.95827004857293e-05,2.24644287003744e-05,1.65193320832217e-05,2.59834131339067e-05,1.78249505969261e-05,2.0874425231584e-05,1.44906535284741e-05,1.49109656463574e-05,1.6494503686138e-05,2.17839698629221e-05,1.41237855646168e-05,2.58050868516392e-05,"v_4599",9,5.06457330969866e-05,2524.0426190915
"2047966",3.21539780676023e-05,1.54182305157618e-05,2.73443040960059e-05,1.91581804290064e-05,2.27583067819754e-05,1.90443964742179e-05,2.81990886994502e-05,3.7740240216629e-05,2.18769532994017e-05,2.69957539053576e-05,2.93587421596431e-05,3.77516200996732e-05,2.32728677881554e-05,2.41997639178587e-05,2.76187038465566e-05,3.70029077123609e-05,2.08493977382439e-05,2.19821110217667e-05,"v_2518",27,5.96587519389094e-05,2522.51022989671
"2045",0.000735592761406201,0.000942714665820867,0.000664808393334142,0.000933961295914062,0.000780947082722231,0.000798978866034629,0.000784482981458316,0.00062945329218449,0.000585320117867667,0.000662408311452712,0.000710900970865643,0.000697294630076316,0.000529128409145798,0.000555127917752091,0.000663999671644299,0.000660680948993282,0.000768737471445573,0.000632702499843895,"v_3657",20,4.29442583526583e-05,2522.50443006797
"580340",1.10000451283903e-05,0,1.45266615510031e-05,7.52642802568108e-06,1.34864040189484e-05,1.06294305902611e-05,1.56661603885834e-05,1.12322143501872e-05,1.25011161710867e-05,1.38353238764958e-05,1.71259329264584e-05,2.0430288524529e-05,1.31733213895219e-05,7.08881973351416e-06,1.45765381412382e-05,6.86344255955081e-06,8.74329582571518e-06,1.01946022129933e-05,"v_5161",13,5.11980339954946e-05,2518.7446893746
"2257",3.63847646554447e-05,3.08364610315237e-05,3.80256728835081e-05,4.51585681540865e-05,3.3716010047371e-05,4.56179729498707e-05,4.85650972046087e-05,4.40302802527338e-05,3.43780694704884e-05,5.06170385725455e-05,4.64846750861015e-05,3.73074833926182e-05,3.64461891776774e-05,3.44663304284654e-05,3.37561935902359e-05,4.29711186337094e-05,4.06899536504437e-05,3.217671323476e-05,"v_5285",38,6.22006593269889e-05,2517.43578535388
