"","X0n7bM2TOMPOOA100365.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report"
"39960",1812,149,1727,1002,1360,904,3298,657
"2739433",809,82,703,511,582,432,1636,328
"1112",784,71,721,445,556,397,1340,219
"2182384",713,74,638,420,546,412,1253,289
"2683265",3899,363,3768,2404,2856,2234,7255,1399
"2060312",1657,130,1389,968,1215,977,2850,737
"2067415",1282,252,1250,677,928,668,2781,453
"2604537",809,59,664,445,616,393,1417,247
"2185142",348,29,303,194,216,169,617,126
"1267766",847,56,677,482,576,469,1674,314
"361183",593,55,559,354,462,342,1095,236
"476157",245,19,215,180,184,117,521,78
"692370",1600,158,1326,852,1025,864,3249,549
"2338327",1558,150,1489,867,1018,805,3542,570
"1982042",1216,105,1033,683,891,603,2202,434
"2055955",428,34,410,267,370,289,1201,203
"450378",1601,150,1570,1052,1276,916,3443,606
"2798724",882,93,831,547,598,653,1657,320
"1348774",757,62,663,479,527,417,1456,298
"192812",1113,119,1227,686,909,602,2363,442
"1532023",1103,130,1272,700,983,618,1999,396
"266951",542,55,534,352,505,290,1225,222
"502682",632,63,597,359,468,362,1151,263
"1648404",309,30,223,192,255,159,637,96
"543877",931,91,784,507,794,466,2081,625
"645517",846,90,761,549,574,495,1434,304
"1892855",2964,558,4673,2238,4211,3604,5877,1973
"2771430",1384,302,2393,1085,2211,1743,3865,1582
"335406",1902,166,1459,1235,1429,856,40661,644
"2759707",1219,161,1459,849,965,695,2145,360
"192",3845,426,4306,2668,2166,2127,4537,1402
"652764",1154,106,1236,752,673,618,1977,286
"709810",1100,131,1156,764,626,615,3740,339
"664962",973,76,1116,656,539,501,986,293
"2202148",3084,326,3723,2208,1870,1883,3806,747
"137722",1331,136,1550,818,752,682,1817,269
"862719",862,96,948,556,439,624,1506,155
"528244",1774,175,1986,1174,1021,927,2359,351
"682998",1014,93,1130,705,604,695,1714,227
"286727",842,84,893,584,466,439,2703,235
"1226968",826,98,1045,518,494,510,1329,184
"1064539",623,59,671,433,385,313,721,198
"2775420",5236,916,9559,4603,1901,10011,3490,771
"2233999",3846,744,6983,3284,1387,3722,2516,507
"2602016",4456,342,3988,3002,2918,1954,5627,924
"2602015",3655,266,3367,2486,2450,1531,4699,702
"1663591",1170,102,1028,751,599,487,1347,205
"1639348",856,69,817,575,536,354,1211,189
"431944",302,14,273,210,193,137,415,58
"342108",1142,77,1030,705,667,489,1506,218
"414684",2481,246,2665,1575,1580,1258,3168,547
"269796",4,1,5,1,1,9,30,4
"2594003",2473,257,2505,1630,8709,1848,31783,629
"1110502",2368,216,2504,1509,1557,1130,3622,536
"1441467",2094,225,2213,1555,1258,1023,2961,465
"2220096",1835,198,2003,1304,1185,1133,3200,1121
"111831",1452,131,1330,886,849,676,1974,223
"2048283",251,10,197,160,145,132,520,43
"2785908",140,12,127,89,75,73,300,38
"2785911",83,5,79,53,54,37,194,30
"1891279",150,18,113,96,89,68,530,44
"1123366",89,5,70,53,56,50,182,19
"1612173",1022,92,1082,677,579,439,3043,216
"1150469",848,77,931,531,522,397,1223,169
"1288970",590,54,474,360,370,290,850,122
"1549855",127,10,118,99,86,74,184,19
"1401328",16,1,11,9,10,4,32,2
"1193729",9,2,10,9,6,5,35,3
"2768162",2035,300,2934,1729,1298,1303,2744,476
"2768161",1874,274,2660,1549,1215,1332,2807,493
"2018065",203,23,339,195,103,122,316,40
"257708",1340,182,1911,1002,822,757,1946,246
"207340",217,27,440,201,143,141,371,39
"94",5302,405,4820,3714,3382,2316,9255,1378
"1296990",200,17,214,148,123,94,270,39
"265959",282,21,285,207,174,124,449,77
"714995",46,2,23,26,18,9,57,7
"265960",203,22,269,146,131,98,337,44
"634177",191,22,195,129,94,59,238,46
"65958",177,16,171,97,113,73,269,28
"33995",143,8,184,94,99,71,253,30
"215221",13,2,10,7,8,3,22,2
"2771361",2301,367,3670,1814,1539,1690,3666,489
"926570",265,26,313,164,171,121,325,49
"349163",164,13,204,148,105,80,264,35
"1484109",1481,133,1583,956,891,633,1686,272
"1969806",1461,147,1473,1040,804,634,1921,270
"435",607,46,563,410,320,235,958,150
"1076596",147,10,171,105,86,64,216,18
"2592655",118,11,157,103,116,75,233,30
"2259883",1,0,1,2,3,0,3,0
"431306",81,8,75,47,60,42,167,14
"481145",12,2,15,12,4,4,14,1
"1006554",7,1,2,1,2,10,3,1
"1266844",5,3,10,3,0,3,6,3
"481146",48,5,43,45,31,18,97,19
"146474",39,1,39,29,28,17,104,8
"104102",35,2,42,27,28,15,99,8
"446692",32,0,22,36,17,6,53,6
"2500548",9,1,12,6,4,6,22,0
"1633874",7,0,1,8,3,3,3,2
"65959",1,0,3,1,3,0,4,0
"272568",978,96,1081,700,660,476,1240,180
"1288313",128,13,102,107,68,59,211,34
"290633",87,8,106,76,73,38,174,22
