"","AYtCM2TOMPOOA100360.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report"
"2133959",2,1,3,0,3,2,1,0,3,1,1
"807",5,1,1,1,3,4,1,2,2,2,1
"2764186",5717,1938,5284,1161,6315,5424,2745,4154,4129,3045,7384
"2714944",5649,1816,4842,1134,5628,4886,2498,3909,3998,3066,7033
"2681549",2900,1524,2243,991,2986,1896,1752,1855,2287,1824,3092
"2714942",4843,1504,3239,747,3195,2873,2129,2808,2929,2212,5018
"2714943",4260,1446,3516,998,3996,3424,1935,2975,3059,2321,5280
"2653203",2214,1214,1881,816,2592,1657,1342,1483,1811,1327,2348
"745310",2210,1113,2004,925,2572,1607,1464,1526,1787,1368,2303
"1327635",2031,1041,1919,753,3048,1636,1140,1397,1682,1147,1963
"2735134",1822,1092,1405,554,2041,1365,1126,1256,1625,1146,1888
"2698679",2119,1072,1718,732,2563,1565,1292,1338,1644,1167,2212
"1938607",1803,1020,1791,679,2756,1523,1118,1190,1510,1018,1706
"2492837",1707,992,1527,561,1846,1198,1055,1149,1436,1051,1768
"2596913",1770,972,1338,528,1966,1447,1115,1188,1458,1106,1849
"2711156",1607,895,1302,591,1746,1140,995,1008,1329,983,1584
"1523415",1591,912,1231,455,1987,1268,887,942,1253,944,1493
"2219696",1577,872,1248,449,1758,1199,919,1025,1273,919,1458
"2599297",1521,736,1256,599,1863,1040,1027,965,1309,888,1558
"2565555",1203,654,934,391,1383,954,744,784,964,823,1238
"1030157",1083,610,922,418,1206,743,729,735,893,646,1172
"2759526",1124,650,861,393,1318,874,695,788,949,690,1182
"1517554",1132,628,881,363,1294,841,685,749,931,710,1091
"1390395",997,556,840,337,1145,729,662,701,884,584,1013
"1517551",922,578,728,316,1165,741,597,704,830,579,960
"1961362",582,352,466,204,720,473,367,385,477,354,585
"2319844",505,338,413,173,557,374,282,359,417,283,513
"304378",245,210,196,112,265,162,148,145,199,137,208
"1628059",17,12,16,5,33,25,20,15,24,23,26
"849864",1,4,5,0,1,4,0,1,1,0,0
"1381597",7,22,69,9,5,4,1,4,6,4,2
"28214",3,0,0,0,3,1,0,1,1,1,2
"90322",1,2,0,0,2,0,0,0,0,0,0
"386874",10515,3430,5587,1884,8759,8277,3863,5618,5853,7375,10366
"1176646",9525,2696,5399,1652,7921,7279,3539,5167,5319,5589,9494
"1045317",8606,2511,5877,1356,8057,6929,3314,5676,5840,4654,10617
"363835",6254,2135,4855,1307,5630,4719,3194,4221,4496,3386,8037
"2071607",5396,1930,4305,1041,4155,3550,3113,4038,4260,2927,6801
"2594473",4583,1562,3829,868,3179,2904,3279,3744,4071,2750,6601
"392499",526,292,428,131,527,300,297,347,432,304,449
"653931",2789,1592,2233,937,3251,2060,1609,1697,2205,1598,2691
"1123269",2606,1476,2090,884,2907,1744,1650,1578,2043,1578,2633
"93064",2067,966,1779,811,2333,1374,1635,1380,2385,1114,2017
"1609977",1718,1015,1425,541,2659,1438,1102,1066,1489,1009,1683
"1549858",1760,992,1392,499,2157,1313,1075,1108,1362,1031,1814
"1560345",1578,898,1347,518,1908,1240,976,1018,1298,971,1550
"1813879",1485,776,1223,466,1919,1262,947,1006,1225,885,1470
"424800",1191,680,968,340,1296,848,665,777,948,777,1142
"13689",1199,711,901,412,1336,811,759,737,932,680,1079
"621456",54,42,36,13,54,43,27,30,56,23,53
"2698828",614,388,511,207,656,461,401,439,484,385,668
"2789327",2478,1404,9845,1363,2336,1323,2057,2683,5191,1402,1384
"627192",1476,952,1275,554,1825,1108,921,886,1246,850,1422
"1315974",1118,539,1089,402,905,595,573,672,842,583,833
"2676077",925,478,898,328,856,536,512,527,717,508,745
"2082188",863,495,850,335,829,533,478,448,722,417,747
"1843368",812,517,763,277,746,443,419,436,652,405,626
"1855519",1730,487,1427,577,986,611,537,703,953,569,723
"2072936",879,495,748,299,880,597,458,521,667,448,764
"2733867",703,416,652,262,599,435,359,407,508,314,572
"407020",1409,306,799,321,593,412,327,424,593,369,515
"2565554",208,135,161,60,219,139,149,118,149,110,137
"484429",90,56,120,66,172,74,70,101,124,65,82
"520734",92,52,227,121,125,62,66,85,139,67,87
"2185111",12,12,11,4,24,12,10,14,13,9,6
"13690",1750,1183,1505,620,1595,1070,1027,1066,1464,1039,1445
"135719",1000,518,879,388,960,669,555,533,775,514,885
"120107",861,511,929,408,1005,636,548,582,772,480,807
"690566",956,456,849,313,776,546,435,526,772,450,720
"1673076",740,421,717,266,771,483,399,469,634,438,625
"452662",757,412,737,324,732,515,445,485,666,404,663
"1332080",701,423,800,377,749,528,431,445,648,399,618
"76947",1260,337,1030,408,703,465,370,528,772,384,558
"1208342",130,79,132,65,139,73,125,112,162,109,154
"1054037",174,79,128,47,197,94,76,107,137,104,105
"861109",8,8,19,3,15,9,6,5,11,7,19
"56193",3,2,5,1,4,2,0,4,4,9,3
"595605",1,1,0,0,1,1,0,0,0,3,0
"1357916",2347,947,1538,777,1395,901,1090,871,1297,782,1313
"1874061",1024,580,970,730,916,643,797,641,865,505,876
"2486273",1500,772,1175,721,1304,780,876,813,1111,737,1159
"2565556",3192,709,6018,5359,1303,760,2810,999,1707,683,1118
"292913",1186,643,2015,1209,1145,810,833,749,950,688,1076
"1914525",1050,551,1195,852,975,611,960,812,932,532,896
"1866325",103,69,213,205,83,53,85,60,92,55,53
"1913578",65,46,54,11,57,45,27,38,46,41,42
"33050",2490,1327,2270,1488,2134,1423,1648,1504,1863,1274,1991
"2448440",1050,591,1197,638,1059,740,736,721,870,580,970
"2054227",1307,647,1247,774,1173,762,839,746,978,648,1083
