"","X0n7bM2TOMPOOA100365.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report"
"1045855",795,91,828,455,651,610,609,701,675,806,480
"2202149",1135,187,1195,563,1006,1124,1034,1058,1348,1778,1225
"2771436",1037,137,952,554,3954,859,804,865,996,1308,763
"2714945",706,112,636,294,634,608,601,588,701,977,681
"215691",1258,152,1380,671,1205,1200,1055,1188,1524,1786,1183
"1463158",1026,134,971,558,754,822,816,905,962,1214,755
"370777",3430,376,2542,1220,1520,1261,1839,1730,1247,1389,933
"2511995",823,64,716,572,408,647,404,663,794,769,511
"698414",3,0,2,2,1,1,1,2,1,0,0
"1401256",3,0,5,2,0,5,0,0,2,1,1
"644357",2,0,0,4,1,1,0,0,1,1,0
"671135",2,1,5,2,2,2,0,1,1,2,0
"1444770",86,5,70,43,53,51,38,49,51,57,38
"445710",1337,129,1357,820,642,1148,780,1215,2313,5404,1262
"2763498",728,78,652,467,432,572,357,540,953,2839,498
"2501295",278,19,280,207,197,246,168,281,392,848,230
"1217721",843,52,731,524,422,688,425,670,1127,3161,594
"1849581",409,38,376,283,276,342,218,351,601,1219,332
"666685",1405,130,1295,848,646,1070,734,1075,2116,5954,1214
"2778082",1112,123,1171,693,513,974,652,944,1797,3939,957
"582702",746,72,783,517,384,656,424,645,1357,7623,807
"1300342",2677,213,2398,1697,1240,2077,1368,2275,2081,2622,1382
"2589080",940,80,1006,652,482,732,510,860,974,1881,602
"1440763",905,85,908,590,450,748,504,790,940,1417,549
"2010829",1263,104,1109,832,578,1024,678,1048,1667,3302,928
"2021234",839,77,604,617,406,510,334,667,521,483,274
"767434",479,39,420,294,249,341,239,382,439,548,249
"550",553,64,505,344,345,402,326,539,630,233,183
"158836",201,21,200,120,76,127,136,189,131,92,61
"69218",125,13,121,71,60,81,63,96,73,51,32
"61645",106,9,101,66,84,62,77,124,58,59,26
"1812935",92,9,105,45,56,66,45,89,71,50,33
"2494701",65,6,61,26,20,47,24,71,52,27,24
