"","cuu6M2TOMPOOB051315.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"2731756",7.83308019429172e-06,8.85785882521762e-06,1.11034176763745e-05,9.84754802022507e-06,1.29043783037422e-05,1.22221029888175e-05,1.15337915627169e-05,1.21060901279295e-05,2.26319934298172e-05,8.03643182427002e-06,7.15698366537761e-06,"v_2564",17,2.52283162621727e-05,60242.6954451514
"2714948",5.48315613600421e-06,4.87182235386969e-06,3.55309365643983e-06,5.37138982921368e-06,7.5908107669072e-06,4.888841195527e-06,3.8445971875723e-06,4.7787197873406e-06,4.98671041673939e-06,3.57174747745334e-06,2.38566122179254e-06,"v_2596",17,2.43457090687766e-05,7149.54420152446
"1534743",2.34992405828752e-06,3.98603647134793e-06,2.22068353527489e-06,3.58092655280912e-06,5.06054051127147e-06,1.9555364782108e-06,2.09705301140308e-06,1.91148791493624e-06,7.67186217959906e-07,1.78587373872667e-06,1.59044081452836e-06,"v_2639",17,2.40286421414326e-05,7561.86185314172
"1908198",9.79135024286465e-06,1.01865376490003e-05,1.24358277975394e-05,1.34284745730342e-05,1.1892270201488e-05,1.14887768094885e-05,1.15337915627169e-05,1.49733220003339e-05,1.03570139424587e-05,1.29475846057684e-05,4.77132244358508e-06,"v_2647",17,2.62908823220107e-05,28910.1486325523
"676208",5.87481014571879e-06,7.08628706017409e-06,7.99446072698961e-06,6.86344255955081e-06,6.83172969021648e-06,3.17774677709255e-06,6.29115903420923e-06,4.14155714902852e-06,6.13748974367925e-06,8.92936869363336e-06,3.9761020363209e-06,"v_2692",17,2.59161353858913e-05,4107.98359056569
"754477",1.17496202914376e-05,5.75760823639145e-06,4.44136707054978e-06,9.25072692809022e-06,1.31574053293058e-05,6.59993561396145e-06,3.8445971875723e-06,9.87602089383723e-06,6.13748974367925e-06,5.80408965086168e-06,1.59044081452836e-06,"v_2703",17,2.48397833970888e-05,10509.4227067688
"1249552",3.91654009714586e-05,2.70164694169137e-05,3.02012960797385e-05,4.62536346404511e-05,4.71895402676064e-05,2.51775321569641e-05,2.93587421596431e-05,3.05838066389798e-05,3.45233798081958e-05,3.75033485132601e-05,1.74948489598119e-05,"v_2737",17,2.41481731906981e-05,7515.8587293161
"32025",7.83308019429172e-07,2.2144647063044e-06,1.77654682821991e-06,1.19364218426971e-06,6.32567563908934e-07,9.77768239105401e-07,2.44656184663692e-06,3.1858131915604e-07,7.67186217959906e-07,1.339405304045e-06,0,"v_2966",17,2.22405088628428e-05,15799.6305022179
"2109558",2.34992405828752e-06,3.54314353008705e-06,3.99723036349481e-06,5.6698003752811e-06,5.18705402405326e-06,1.71109441843445e-06,3.14557951710461e-06,5.09730110649664e-06,2.68515176285967e-06,4.01821591213501e-06,2.38566122179254e-06,"v_3005",17,2.43332684446175e-05,9731.44405453442
"273677",0.000370504693189998,0.000330398134180617,0.000367301056734467,0.000275731344566302,0.000449502510913688,0.000277686179905934,0.000358596064949926,0.000310616786177139,0.000313011976927642,0.000371461737655148,0.000497807974947376,"v_3149",17,1.73979609589756e-05,557.488879633309
"684552",0.000450010457162059,0.000417648043609011,0.000414379547682295,0.000316315178831472,0.000364991484375455,0.000292597145552291,0.000462050680179144,0.000383890489583028,0.000298819031895383,0.000399589249040093,0.000626633680924173,"v_3189",17,1.8362437797242e-05,22899.0940275406
