"","iYASM2TOMPOOA050195.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"2807626",3.54937973465915e-05,3.12460799854033e-05,3.70335601567122e-05,3.41027564770878e-05,2.45557639074917e-05,2.62422734397179e-05,4.28719707568031e-05,3.87734115544766e-05,3.99211477489662e-05,3.74566085436837e-05,3.30390653909182e-05,"v_1148",17,2.66823202945728e-05,3995.18187105301
"2697370",4.49288574007488e-07,0,0,0,4.46468434681668e-07,7.95220407264179e-07,2.82052439189494e-07,4.21450125592137e-07,7.98422954979325e-07,6.7489384763394e-07,0,"v_1816",7,1.77465438605832e-05,3994.79477586673
"2316383",2.15658515523594e-05,1.45967088982906e-05,7.75121026535838e-06,1.90443964742179e-05,2.67881060809001e-05,1.51091877380194e-05,1.86154609865066e-05,2.69728080378968e-05,1.67668820545658e-05,1.95719215813843e-05,6.60781307818364e-06,"v_4520",70,2.862458852154e-05,3992.65011185797
"2027405",0.000431317031047188,0.000321811816492,0.000370335601567122,0.000326412097709269,0.000346013036878293,0.000204371644666894,0.0005127713344465,0.000339688801227263,0.000352902946100862,0.00042214610169503,0.000458141706754066,"v_1157",64,1.99880071956826e-05,3989.82523384788
"1325111",0.000456477191191608,0.000334583936778005,0.000435790266030149,0.000482310413033099,0.000313420841146531,0.000147910995751137,0.000482591723453224,0.000297965238793641,0.000660295783767902,0.000323274153016657,0.000359024510581311,"v_13",50,1.99230968461738e-05,3984.52530275576
"60519",3.14502001805241e-06,1.14036788267895e-06,1.29186837755973e-06,1.77157176504352e-06,1.78587373872667e-06,1.59044081452836e-06,8.46157317568482e-07,1.26435037677641e-06,0,1.68723461908485e-06,0,"v_4184",16,2.32980755789572e-05,3983.95522974581
"1870984",8.98577148014976e-07,2.2807357653579e-06,1.72249117007964e-06,8.85785882521762e-07,4.01821591213501e-06,0,1.41026219594747e-06,2.10725062796069e-06,0,1.68723461908485e-06,8.81041743757819e-06,"v_4554",3,2.20390532022744e-05,3973.29654744333
"1072256",9.65970434116099e-05,9.35101663796741e-05,7.66508570685439e-05,0.000108508770608916,9.24189659791053e-05,3.65801387341523e-05,9.87183537163229e-05,9.60906286350073e-05,7.74470266329945e-05,9.0435775582948e-05,9.2509383094571e-05,"v_3479",85,2.50457084178626e-05,3969.20287130151
"1905",0.000309559827491159,0.000420111527978926,0.00028679477981826,0.000404804148312445,0.00048173944102152,0.000158248861045572,0.000340719346540909,0.000451794534634771,0.000232341079898984,0.000409323118589985,0.000312769819034026,"v_3081",157,2.03074548666816e-05,3964.02615362726
"1605",1.79715429602995e-06,2.2807357653579e-06,2.15311396259955e-06,3.98603647134793e-06,4.46468434681668e-07,7.95220407264179e-07,3.10257683108444e-06,2.52870075355282e-06,1.59684590995865e-06,3.3744692381697e-06,2.20260435939455e-06,"v_4167",17,2.57155347545452e-05,3959.22975839407
"2560029",3.5943085920599e-06,3.19303007150107e-06,6.88996468031856e-06,2.2144647063044e-06,8.03643182427002e-06,1.59044081452836e-06,9.5897829324428e-06,5.47885163269779e-06,5.58896068485527e-06,5.39915078107152e-06,1.32156261563673e-05,"v_2496",9,2.49457430089555e-05,3953.04558896531
"2593973",0.000217904958393632,0.00031154850554789,0.000227799457243032,0.000249348725929876,0.000224127154210197,0.000129620926384061,0.000227616318425922,0.000247812673848177,0.000152498784401051,0.000222377522795383,0.000226868249017638,"v_3308",123,2.13574815257785e-05,3952.24299642146
"2692119",0.000110974277779849,0.000103317330170713,7.10527607657851e-05,0.000101422483548742,9.6883650325922e-05,7.47507182828329e-05,0.000104359402500113,9.8197879262968e-05,6.54706823083046e-05,0.000100896630221274,7.04833395006255e-05,"v_3740",133,2.51477429900666e-05,3949.37135029206
"1404888",0.000508145377202469,0.000373812591942161,0.000868135549720138,0.000552730390693579,0.000275917492633271,0.000170177167154534,0.000547181732027619,0.000288693336030614,0.000478255350032616,0.00031180095760688,0.000665186516537154,"v_10",40,1.88355841856435e-05,3945.36605036232
"2785331",1.34786572202246e-06,5.24569226032318e-06,3.44498234015928e-06,8.85785882521762e-07,1.78587373872667e-06,1.59044081452836e-06,2.53847195270545e-06,2.52870075355282e-06,1.59684590995865e-06,4.38681000962061e-06,0,"v_1540",10,2.52130502748222e-05,3942.96591679578
