"","X0n7bM2TOMPOOA100365.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"1073999",2.87693487973284e-05,1.98234392345509e-05,2.32635048066506e-05,2.30717565810049e-05,1.41929450322583e-05,1.85167800783561e-05,1.82179458405773e-05,1.11330857016985e-05,"v_1829",249,3.12881324113764e-05,42881.3357208982
"129817",3.13078207500338e-05,2.20260435939455e-05,2.2807357653579e-05,3.2471361114007e-05,2.68515176285967e-05,2.3684253588595e-05,2.34049998646305e-05,1.66996285525478e-05,"v_1440",189,3.1287153494775e-05,31831.053171199
"1853276",1.04359402500113e-05,8.81041743757819e-06,9.5790902145032e-06,1.15358782905025e-05,9.97342083347878e-06,1.07655698129977e-05,8.85594589472507e-06,2.38566122179254e-06,"v_1246",116,3.12861746394268e-05,9313.0450307876
"296",3.35642402635498e-05,2.422864795334e-05,2.53161669954727e-05,3.7171163380508e-05,2.33991796477771e-05,2.15311396259955e-05,2.03686755578677e-05,1.43139673307552e-05,"v_1458",359,3.1285195845326e-05,53138.5161352247
"233055",6.76925854054786e-06,2.20260435939455e-06,4.56147153071581e-06,6.83607602400146e-06,4.98671041673939e-06,4.3062279251991e-06,5.44008104961683e-06,3.9761020363209e-06,"v_4411",191,3.12842171124668e-05,145296.609292102
"29322",1.41026219594747e-05,1.32156261563673e-05,1.04913845206464e-05,1.62356805570035e-05,5.37030352571934e-06,6.88996468031856e-06,5.44008104961683e-06,8.74742447990597e-06,"v_4464",108,3.12842171124668e-05,28402.5524704166
"2744519",2.82052439189494e-05,8.81041743757819e-06,2.37196519597222e-05,2.94805778535063e-05,2.4549958974717e-05,1.46411749456769e-05,2.83390268631202e-05,1.51091877380194e-05,"v_100",107,3.12832384408434e-05,23801.9329609554
"488538",2.11539329392121e-05,8.81041743757819e-06,1.75616653932559e-05,1.83719543145039e-05,1.22749794873585e-05,1.24880609830774e-05,1.50551080210326e-05,1.51091877380194e-05,"v_737",81,3.12832384408434e-05,9755.43506714148
"2527775",8.17952073649533e-06,6.60781307818364e-06,6.61413371953792e-06,9.8268592845021e-06,4.21952419877948e-06,7.75121026535838e-06,1.01210810225429e-05,4.77132244358508e-06,"v_1029",67,3.12822598304502e-05,11181.6976485297
"472759",3.44103975811183e-05,1.10130217969727e-05,2.14389161943643e-05,3.2471361114007e-05,2.10976209938974e-05,2.06698940409557e-05,1.63202431488505e-05,1.90852897743403e-05,"v_2196",237,3.1280302793331e-05,22739.3549776558
