"","FvY2M2TOMPOOB051329.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"1094489",4.72425693343758e-06,2.20260435939455e-06,3.1858131915604e-06,3.54237835789003e-06,2.01768365208812e-06,7.46026365168566e-06,5.84075146209734e-06,3.10895694938485e-06,1.53437243591981e-06,3.4221888368689e-06,3.01435954763937e-06,"v_315",34,2.68708853956738e-05,13283.8174582979
"650",4.45429939438401e-05,2.64312523127346e-05,2.86723187240436e-05,3.23874592721374e-05,3.76634281723115e-05,3.46156233438215e-05,4.44795688267413e-05,4.57460808266628e-05,3.06874487183962e-05,3.73996351457816e-05,2.28230080035552e-05,"v_2512",195,2.68701633705933e-05,31677.9726961901
"1176255",1.61974523432146e-05,6.60781307818364e-06,1.65662285961141e-05,1.07536485864519e-05,1.21061019125287e-05,1.07427796584274e-05,1.03336372021722e-05,1.24358277975394e-05,1.07406070514387e-05,1.00221244508304e-05,6.88996468031856e-06,"v_4017",17,2.68672756582483e-05,4814.71637390767
"1908198",1.24855361812279e-05,1.76208348751564e-05,1.49733220003339e-05,1.1892270201488e-05,6.38933156494571e-06,1.34284745730342e-05,1.48265229422471e-05,1.24358277975394e-05,1.03570139424587e-05,1.14887768094885e-05,9.04307864291811e-06,"v_2647",27,2.68665538271406e-05,12407.7015744251
"1965282",3.13825639149782e-05,1.98234392345509e-05,2.4212180255859e-05,2.17603241984673e-05,1.47963467819795e-05,3.01394651528101e-05,3.05516230325092e-05,2.30951087668589e-05,2.72351107375767e-05,2.54219742167404e-05,2.62679903437145e-05,"v_2384",48,2.68658320348181e-05,6264.8438254702
"2020965",1.1810642333594e-05,8.81041743757819e-06,8.60169561721308e-06,5.18705402405326e-06,7.39817339098976e-06,8.35549528988794e-06,1.34786572202246e-05,4.88550377760476e-06,4.21952419877948e-06,6.59993561396145e-06,6.02871909527874e-06,"v_3776",36,2.68643885665162e-05,19212.2978956703
"1138308",6.07404462870546e-06,2.20260435939455e-06,4.14155714902852e-06,1.51816215338144e-06,2.69024486945082e-06,3.87933709887654e-06,5.84075146209734e-06,3.10895694938485e-06,3.06874487183962e-06,2.4444205977635e-06,1.72249117007964e-06,"v_1826",59,2.68636668905306e-05,70626.6457880028
"2498113",5.39915078107152e-06,2.20260435939455e-06,3.82297582987248e-06,6.19916212630755e-06,6.72561217362706e-06,4.77456873707882e-06,7.18861718411981e-06,5.32964048465974e-06,2.30155865387972e-06,2.9333047173162e-06,1.72249117007964e-06,"v_2171",34,2.68622236548741e-05,10834.305897883
"75379",4.92672508772776e-05,2.20260435939455e-05,3.15395505964479e-05,2.85920538886838e-05,2.99289741726404e-05,4.77456873707882e-05,4.94217431408237e-05,3.73074833926182e-05,3.98936833339151e-05,3.73996351457816e-05,2.62679903437145e-05,"v_1044",210,2.686005909213e-05,45952.0654087646
"2161677",1.55225584955806e-05,8.81041743757819e-06,1.78405538727382e-05,9.61502697141579e-06,1.27786631298914e-05,1.52189378494388e-05,1.34786572202246e-05,1.59889214539792e-05,1.72616899040979e-05,1.02665665106067e-05,1.37799293606371e-05,"v_793",17,2.68542886298942e-05,6457.75220379117
"651740",5.83783178203358e-05,2.422864795334e-05,3.28138758730721e-05,2.64413241713934e-05,3.36280608681353e-05,3.67044971662935e-05,4.26824145307113e-05,3.41985264432333e-05,2.83858900645165e-05,3.51996566077944e-05,3.3588577816553e-05,"v_1439",238,2.68542886298942e-05,40264.6387655402
"82135",4.72425693343758e-06,0,2.86723187240436e-06,4.68099997292611e-06,3.02652547813218e-06,3.87933709887654e-06,4.94217431408237e-06,3.55309365643983e-06,2.68515176285967e-06,6.59993561396145e-06,1.72249117007964e-06,"v_3750",43,2.68521253457211e-05,113795.682456559
"2358",6.17527870585055e-05,3.30390653909182e-05,4.14155714902852e-05,1.5434648559378e-05,3.46369026941794e-05,4.2672708087642e-05,6.02046689170034e-05,4.1748850463168e-05,3.2989007372276e-05,2.9333047173162e-05,3.22967094389932e-05,"v_2896",287,2.68514043284464e-05,27746.9353444711
"2169583",8.09872617160728e-06,4.4052087187891e-06,5.09730110649664e-06,3.03632430676288e-06,4.37164791285759e-06,6.26662146741596e-06,6.73932861011232e-06,6.2179138987697e-06,4.21952419877948e-06,5.62216737485605e-06,6.88996468031856e-06,"v_1381",19,2.68485206465124e-05,13745.9033015118
"170673",5.39915078107152e-06,0,3.82297582987248e-06,2.78329728119931e-06,4.03536730417623e-06,6.56503201348338e-06,4.04359716606739e-06,5.77377719171472e-06,3.45233798081958e-06,3.9110729564216e-06,1.29186837755973e-06,"v_2634",57,2.68485206465124e-05,68039.885969644
"2044467",3.3744692381697e-06,0,5.09730110649664e-06,4.93402699848968e-06,3.36280608681353e-06,6.86344255955081e-06,5.84075146209734e-06,6.2179138987697e-06,2.68515176285967e-06,2.4444205977635e-06,2.15311396259955e-06,"v_1870",32,2.68477998228045e-05,45057.5010067182
"316277",6.41149155252243e-05,2.64312523127346e-05,3.47253637880083e-05,2.08747296089948e-05,3.90085506070369e-05,4.50599924561814e-05,5.79582260469659e-05,5.10757213113225e-05,4.29624282057547e-05,3.81329613251106e-05,2.66986131362344e-05,"v_2898",321,2.68456375838926e-05,37763.0466387147
"5864",4.58927816391079e-05,3.08364610315237e-05,3.53625264263204e-05,2.28989458135034e-05,3.49731833028607e-05,5.43107193842716e-05,4.53781459747563e-05,3.90840302208381e-05,3.56741591351356e-05,3.25107939502546e-05,3.14354638539534e-05,"v_5541",256,2.68449169149821e-05,36740.7541418679
