"","cuu6M2TOMPOOB051315.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"2527968",9.63468863897882e-05,7.96881114870902e-05,7.62824727321769e-05,0.000124118224841504,9.84754802022507e-05,0.000106250685911089,9.47119874539656e-05,7.68607952925614e-05,7.44170631421109e-05,0.000109338567533032,6.6746532840586e-05,"v_4841",103,2.40217156309304e-05,11688.1759190053
"1458461",0.000104963274603509,7.96881114870902e-05,0.000114212984035469,0.000128136440753639,0.000135776798460679,0.000113590371451,5.50651089848637e-05,8.96329155785656e-05,0.000102035766988668,0.000115047006801825,7.88039710311435e-05,"v_288",102,2.37146651489281e-05,14850.8512909613
"1813879",0.000346613798597409,0.000472995385667238,0.000399113268935754,0.000449147245289758,0.000572649837903391,0.000513777987793753,0.00029074377544008,0.000338689261155649,0.000469134372282483,0.000689403819384982,0.00033545515537301,"v_373",102,1.88672125580167e-05,21504.7579528856
"1655",6.97144137291963e-05,5.27994849116916e-05,6.15317183364521e-05,4.24145012947585e-05,5.25202561078671e-05,6.29115903420923e-05,4.84572959066801e-05,6.52290428892361e-05,4.44968006416745e-05,4.69848462892949e-05,4.17704108744313e-05,"v_3726",102,2.51540686706075e-05,23460.4030906976
"2509675",0.00016566964610927,0.000198486952538396,0.000137814191068629,0.00012054647736405,0.00010086276457079,0.000107648721252025,5.06599002660746e-05,9.35101663796741e-05,6.71287940714918e-05,9.92390211343986e-05,7.53589886909842e-05,"v_4708",102,2.30872235304982e-05,5162.09864712424
"1400387",0.000148828523691543,0.000113665557796003,0.000152564945464354,0.000237967675685329,0.000143535472658432,0.000196423965401421,0.000114535426688516,0.000165581416564984,0.000111625594713166,0.000155445192396359,9.21532775992607e-05,"v_4829",102,2.24587881237928e-05,13650.5019058011
"5234",6.26646415543338e-05,4.10662660424268e-05,3.87734115544766e-05,4.73256540762568e-05,4.56568135483163e-05,6.01155196602215e-05,3.30390653909182e-05,5.92991298993055e-05,3.98936833339151e-05,5.18150641321196e-05,3.74641829492322e-05,"v_5537",102,2.58431321876211e-05,43258.5015282617
"1517551",0.000226767671624745,0.00030873032149753,0.000251605724978506,0.000314313778015894,0.000347648286168552,0.000335528481824492,0.000237881270814611,0.000210283837565999,0.000279255783337406,0.0003802698774442,0.00024071814101863,"v_351",101,2.01041394423112e-05,15388.3580131751
"1961362",0.000138645519438963,0.000189687038386448,0.000154672196092314,0.000171890347352442,0.000214855593168547,0.0002044626686118,0.000125548448485489,0.00013273882154383,0.000178754388784658,0.000243267334993172,0.000145981126664249,"v_352",101,2.16976219406353e-05,30902.9584514673
"60890",0.000126112591128097,0.000111954463377568,0.000119691835668167,0.000129922314492365,0.000132494282453937,0.000128269742530821,6.8280735141231e-05,0.000119282480528218,0.000128120098399304,0.000122511888922554,0.000117560022357935,"v_633",101,2.32975327912774e-05,69131.0266942568
