"","oAVVM2CHIPOOB051360.extra.kraken2.report","X3xfYM2CHIPOOA051365.extra.kraken2.report","jYxWM2CHIPOOB051110.extra.kraken2.report","hoQoM2CHIPOOA051115.extra.kraken2.report","j1iWM2CHIPOOBXX1561.extra.kraken2.report","eBCjM2CHIPOOBXX1180.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"373",0.00022192454742927,0.000203020922633246,0.000269009436959193,0.000257700936044121,0.000235442451689267,0.000227121788093604,"v_93",46,2.47794627812469e-05,22234.7002824464
"1268635",6.65773642287811e-06,1.07608262879812e-05,5.40722486350137e-06,5.92415944929014e-06,5.14628309703317e-06,3.53496946449189e-06,"v_2652",35,3.20636142105938e-05,22214.1154342596
"392499",0.00012782853931926,9.32604944958374e-05,0.000328488910457708,0.000155105265581414,0.000147955639039704,8.21880400494366e-05,"v_367",78,2.85038337656415e-05,22214.0850888307
"66219",6.65773642287811e-06,1.00434378687825e-05,2.70361243175068e-06,5.92415944929014e-06,3.85971232277488e-06,7.51181011204528e-06,"v_4384",25,3.10115983377783e-05,22174.7875195346
"45656",7.10158551773665e-06,1.00434378687825e-05,1.21662559428781e-05,1.10404789736771e-05,6.43285387129146e-06,4.86058301367635e-06,"v_2844",51,3.31169691349848e-05,22159.2455044419
"110937",0.00020372673454007,0.000199433980537252,0.000231158862914683,0.000299977892114055,0.000236729022463526,0.000250540960795863,"v_3004",156,2.62743037309511e-05,22157.4826728268
"253239",6.70212133236397e-05,7.89127261118624e-05,7.29975356572685e-05,8.26689523150942e-05,5.78956848416231e-05,7.37924875712683e-05,"v_4295",85,3.13518936543767e-05,22136.3298278911
"2624044",2.35240020275027e-05,1.21956031263787e-05,2.97397367492575e-05,1.37332787233544e-05,1.15791369683246e-05,1.14886507595987e-05,"v_2947",58,3.39397230518599e-05,22093.6779856024
"573600",4.43849094858541e-06,6.45649577278874e-06,5.40722486350137e-06,6.4627193992256e-06,0,2.20935591530743e-06,"v_3758",43,3.13204710598847e-05,22073.1586170322
"754035",0.00020683367820408,0.000182934046895681,0.000251435956152814,0.000241544137546057,0.000222576743946684,0.000207237584855837,"v_161",45,2.51622968144532e-05,22064.4637558662
"1301915",4.43849094858541e-07,7.17388419198749e-07,0,1.34639987483867e-06,0,0,"v_5375",38,2.29205345068647e-05,22013.0894050609
"1697043",0.000309806668211262,0.000242477285689177,0.000382561159092722,0.000296746532414442,0.000348660679823997,0.000236842954120957,"v_1094",114,2.55323494867998e-05,21995.8831102026
"1982900",1.77539637943416e-06,1.4347768383975e-06,1.35180621587534e-06,1.88495982477413e-06,1.28657077425829e-06,2.65122709836892e-06,"v_5565",41,2.82701495490911e-05,21984.878302876
"36809",0.000193962054453182,0.000177194939542091,0.000221696219403556,0.000267395015142959,0.000200705040784294,0.000250982831978925,"v_3390",179,2.67508426515435e-05,21978.6087603837
"1649877",5.10426459087322e-05,7.03040650814774e-05,4.86650237715123e-05,3.55449566957408e-05,3.47374109049739e-05,3.53496946449189e-05,"v_1463",66,3.15367876628087e-05,21958.7796264391
"1983744",4.43849094858541e-07,7.17388419198749e-07,0,1.34639987483867e-06,0,4.41871183061487e-07,"v_5631",49,2.27190112686296e-05,21955.3117997884
"515635",4.30533622012785e-05,4.08911398943287e-05,2.02770932381301e-05,2.50430376719992e-05,9.00599541980804e-06,1.7232976139398e-05,"v_5188",88,3.36462433969247e-05,21942.2665745794
"133453",0.000262314815061398,0.00029269447503309,0.000274416661822694,0.000313980450812377,0.000183979620718936,0.000243029150683818,"v_4661",89,2.61042079983293e-05,21934.9726744251
"294702",8.43313280231228e-06,1.147821470718e-05,1.75734808063794e-05,1.13097589486448e-05,7.71942464554975e-06,7.06993892898379e-06,"v_4979",59,3.35221749187087e-05,21919.5034725248
"557993",0,0,0,1.6156798498064e-06,1.28657077425829e-06,1.76748473224595e-06,"v_2068",28,2.37699072973615e-05,21914.8930650002
"28184",1.42031710354733e-05,9.32604944958374e-06,5.40722486350137e-06,8.07839924903201e-06,1.28657077425829e-06,4.41871183061487e-06,"v_5081",63,3.27664733444739e-05,21899.1493013078
"158627",4.30533622012785e-05,4.37606935711237e-05,4.19059926921356e-05,3.39292768459344e-05,1.92985616138744e-05,1.98842032377669e-05,"v_1640",64,3.20677270395074e-05,21896.8163947646
"215743",1.99732092686343e-05,1.721732206077e-05,2.43325118857562e-05,2.20809579473542e-05,2.1871703162391e-05,1.98842032377669e-05,"v_526",54,3.33333333333333e-05,21895.9432572517
"2639138",0.000140256313975299,6.31301808894899e-05,8.24601791683959e-05,8.1861112390191e-05,2.83045570336824e-05,4.9047701319825e-05,"v_4782",71,3.10231432648756e-05,21892.5714127927
"235559",3.99464185372687e-06,5.02171893439124e-06,4.05541864762603e-06,3.50063967458054e-06,0,4.41871183061487e-07,"v_2145",43,2.96894483700493e-05,21877.3029741706
"2681547",7.81174406951032e-05,6.31301808894899e-05,9.46264351112739e-05,8.85931117643843e-05,5.01762601960734e-05,6.45131927269771e-05,"v_2306",125,3.15796122023622e-05,21838.3112270992
"61652",4.74918531498639e-05,3.01303136063475e-05,3.64987678286342e-05,5.95108744678691e-05,4.37434063247819e-05,3.93265352924723e-05,"v_1964",38,3.20410124959949e-05,21835.2684268161
"1500686",1.0652378276605e-05,1.79347104799687e-05,9.46264351112739e-06,1.85803182727736e-05,1.41522785168412e-05,8.83742366122974e-06,"v_1504",26,3.30131062031627e-05,21797.4776878007
"1748",0.000184641223461153,0.000173607997446097,0.000235214281562309,0.000271434214767475,0.000181406479170419,0.000181609056238271,"v_3567",163,2.75884900819378e-05,21793.1264745481
