"","AYtCM2TOMPOOA100360.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"428406",3.3754889327297e-05,2.76810429502634e-05,2.97082509948769e-05,1.91035404300498e-05,4.00514463649082e-05,3.90840302208381e-05,6.1036389104785e-05,4.44795688267413e-05,3.27273322315131e-05,3.66545863462675e-05,2.14709509961328e-05,"v_999",47,2.58444679916264e-05,2108.2225477948
"2705547",1.57370767809695e-05,1.29475846057684e-05,1.11842827274831e-05,4.93402699848968e-06,2.05898280608331e-05,1.24358277975394e-05,2.0638203510251e-05,1.66236772382771e-05,1.29186837755973e-05,7.73445399967112e-06,3.9761020363209e-06,"v_1017",49,2.71591526344378e-05,4626.76359810674
"521",7.1843176608774e-05,6.47379230288419e-05,7.96880144333169e-05,6.99619725683281e-05,9.19490951757751e-05,8.79390679968857e-05,7.42097104943069e-05,8.85098490794751e-05,8.00958394087032e-05,7.86896624314366e-05,0,"v_1067",67,2.41016123978694e-05,2730.01376822106
"2813780",1.50528560513622e-05,1.96446111259934e-05,2.51646361368369e-05,1.75853782766684e-05,2.3974457331107e-05,2.44275188880238e-05,1.40515428154901e-05,2.47108715704118e-05,1.55024205307168e-05,2.38759232163761e-05,1.66996285525478e-05,"v_1090",60,2.72042220952692e-05,4047.97142185808
"2735906",4.58427888836939e-05,6.29520492901152e-05,0.000169511785088415,5.61719996751133e-05,7.0795162236563e-05,0.000114587270420184,0.000122511888922554,6.15525346390258e-05,4.13397880819113e-05,4.10262342591251e-05,4.93036652503791e-05,"v_1312",90,2.42653660430468e-05,1684.63586141417
"2498848",6.34044542769497e-05,5.75944280739352e-05,7.30473465638738e-05,3.51707565533367e-05,6.09233268649307e-05,6.39556858159169e-05,7.28923783553547e-05,4.98710317148312e-05,3.66029373641923e-05,4.13625148678064e-05,2.62422734397179e-05,"v_1316",162,2.51357329579731e-05,3374.49923795862
"2049589",3.17022271384749e-05,4.59862487722118e-05,9.08722971607999e-05,3.82070808600996e-05,5.30258585676249e-05,5.24081314324874e-05,7.90399283371316e-05,5.21174745848686e-05,4.22010336669512e-05,2.55573262597828e-05,3.49896979196239e-05,"v_1322",128,2.55277869961453e-05,3918.82818969171
"2320270",4.01409494702991e-05,4.06286275560318e-05,6.39601168477938e-05,2.32784863518488e-05,5.10514914932984e-05,4.35253972913879e-05,4.65457355763109e-05,3.95373945126589e-05,3.27273322315131e-05,4.67430046067081e-05,2.86279346615105e-05,"v_1324",74,2.56456287025876e-05,2152.0887376182
"253237",1.66493710871127e-05,2.09840164300384e-05,5.906699315452e-05,2.22663782495945e-05,2.70770341621914e-05,2.70923391303537e-05,4.47892927243746e-05,2.06672744043444e-05,1.03349470204778e-05,1.00884182604406e-05,1.43139673307552e-05,"v_1341",60,2.65125404316242e-05,4190.89187006357
"2054915",7.29835444914529e-06,8.48290025895169e-06,4.2989586733763e-05,4.93402699848968e-06,1.41026219594747e-05,1.68771948680892e-05,2.63466427790439e-05,6.29004003610483e-06,6.02871909527874e-06,8.07073460835247e-06,4.77132244358508e-06,"v_1363",52,2.68672756582483e-05,598.161423608386
"47879",3.55794779395833e-05,5.62550227698902e-05,8.21345762799538e-05,6.23711618014208e-05,6.57182183311521e-05,5.37405415536524e-05,7.99181497630998e-05,5.66103603249435e-05,4.56460160071104e-05,3.86722699983556e-05,2.94231550687746e-05,"v_1433",55,2.50997715920785e-05,2375.19681067326
"29442",4.08251701999065e-05,5.00044646843468e-05,5.55719048021815e-05,2.47966485052302e-05,5.16155963716774e-05,3.46426631502883e-05,5.31323962710718e-05,4.35809916787263e-05,3.57416917791525e-05,4.37164791285759e-05,2.38566122179254e-05,"v_1437",82,2.56252562525625e-05,2788.99273953096
"86185",4.83515982255876e-05,4.59862487722118e-05,7.0251275882003e-05,3.80805673473178e-05,4.7948914662214e-05,4.75226276548827e-05,5.09368427061515e-05,5.4363917454906e-05,4.00479197043516e-05,3.73271475636302e-05,3.73753591414164e-05,"v_1457",139,2.55623721881391e-05,4257.66034813854
"33069",4.49304945775507e-05,5.00044646843468e-05,8.45811381265907e-05,5.36417294194776e-05,6.9666952479805e-05,6.61763693511918e-05,7.72834854851954e-05,6.24511117870408e-05,3.87560513267919e-05,5.48137392150605e-05,3.49896979196239e-05,"v_1461",138,2.52111433253498e-05,4325.19187276054
"36746",4.44743474244791e-05,5.35762121618002e-05,9.78624738654768e-05,4.68099997292611e-05,5.58463829595198e-05,6.48439592300268e-05,8.60656997448767e-05,5.84075146209734e-05,4.22010336669512e-05,3.53094639115421e-05,3.9761020363209e-05,"v_1463",150,2.52844500632111e-05,4417.03840199224
